	X13_12N_N_N_2	X13_18S_H_C_0	X13_22N_H_N_2	X13_23N_N_N_1	X13_3N_N_N_1	X13_4S_H_C_2	X13_6N_N_N_1	X13_8N_N_N_0	X14_15N_H_N_0	X14_16S_H_C_1	X14_1N_H_N_1	X14_23S_N_C_1	X14_3N_N_N_1	X14_3S_N_C_1	X14_4N_H_N_2	X14_4S_H_C_2
OTU_14	0	0.0857536204459219	0.0895357149461273	0	0.23748947998566	0.362503101981845	0	0.0685651946631469	1.53979917619794	0.747732244727859	0	0.21918917145001	0.0601335727541471	0	0.696625207706169	0.31351468841303
OTU_1344	0	0.0856369922923916	0.212741911212407	0.766222599566537	0	0.537218101884061	0.780818223406871	0	0.226424182473766	0.405046330863011	0.225092552556341	0	0.369229375051583	0.175710623004075	0	0.24595798183411
OTU_141	0.465856038925631	0.31985668819453	0	0	0.142691996340141	0.223690049188829	0.0709920588174057	1.02394333560488	0.804117717954116	1.14517152692004	1.36798828875708	0.370443828593276	0.364650370719005	0	0.851454933135832	0.704486202688869
OTU_1068	0.166319932238855	0.128133016683313	0.0940794763374656	0.284220992892535	0	0.0979061767700117	0.0919237375128635	0	0.70950879537024	0.242607360024596	0.332001827821326	0	0	0.562464294907326	0.375796338856821	0.651930751240125
OTU_1178	0	0.369637947383606	0.12778165457163	0.0924686405608236	0	0	0.267936339336878	0	0.231898411498507	0.333566934625303	0.338638580679892	0	0	0.124834524058609	0	0.173340771640713
OTU_1180	0.129085792936989	0.501008283500032	0.587212419867034	0	0.602786387626708	0	0.619452102840414	0	0.932071002882237	0.185965487376179	0	0.471095769221104	0	0	0.426954993942992	0.908970185972367
OTU_1051	1.13026758209625	0.466409507825829	0.178385585168681	0	0.145950285045473	0.620659186062242	0.583932263562635	0.422943125659926	0.338887537545148	0.414122980762151	0.57000798872003	0.440602232217729	0.25039920967399	0.124165542333134	0.493853128057213	0.0682660878722331
OTU_15	0.121036505044609	0	1.89683763014558	1.3544818123934	0	0.95167709312538	1.31368724461407	2.86758250048993	2.48455233338992	0.862961086523734	1.75179828988871	0	0	0	0.218677197196269	0.280129423216387
OTU_1278	0	0	0	0.0767611581445674	0.0954792527721028	0	0	0.101000445345823	0	0	0.122629296762752	0.0997842173934519	0	0.102805952059731	0	0.101645932274496
OTU_1210	0	0.376620020840438	0.0889782080612078	0	0.168448725090155	0	0.0898117636018474	0	1.03543211357896	0.095662491219366	0.0873463835699524	0	0	0	0	0
OTU_1075	0	0	0	0	0.175106051919902	0	0	0.188709077574477	0	0	0	0	0	0	0.0833586232506057	0
OTU_1523	0.639673111217419	0	1.54698447106753	0.182583449370032	0.262392848819565	0.331055923281893	1.88435190534097	0.330128449409538	0.0739198188502312	0.213387186539256	2.19454633857285	1.3892286033156	0.11785324847182	0.576977916214258	0.532043751191133	0.165798547868454
OTU_1469	0	0	0.881169840332522	0.3838526511348	0	0	0	0	0	0.188802828887785	1.24768502836688	0	0	0	0	0
OTU_1327	0	0.470256576217901	0.077943474250979	0	0	0.331490690030488	0	0.113566029506279	0	0	0.192086041996752	0	0.129412035371931	0	0	0.232178571677469
