node1	node2	X13_12N_N_N_2	X13_18S_H_C_0	X13_22N_H_N_2	X13_23N_N_N_1	X13_3N_N_N_1	X13_4S_H_C_2	X13_6N_N_N_1	X13_8N_N_N_0	X14_15N_H_N_0	X14_16S_H_C_1	X14_1N_H_N_1	X14_23S_N_C_1	X14_3N_N_N_1	X14_3S_N_C_1	X14_4N_H_N_2	X14_4S_H_C_2
OTU_11	OTU_1383	0	0	0	0	-0.0987602934763755	0	-0.308069716495518	0	0	-0.120192075679531	0	0	0	-0.0822960392427317	-0.0732014373771567	0
OTU_1299	OTU_1389	0	0	0	0	0	0	0	0	0	0	0	0	-0.139427911475294	0	0	-0.139446691964757
OTU_136	OTU_14	0	0	0	0	0	0	0	-0.0685651946631469	-0.122548175713816	0.078345338682609	0	0	0	0	0.0803799358167571	0.0646737705890499
OTU_12739	OTU_14012	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.114047553967822	0	0
OTU_1319	OTU_1407	0	-0.164200965711567	0	-0.151383832700704	-0.0850714410469615	0	0	0	0	0	-0.177315455247288	-0.0888162708993336	0	0	-0.207809079703017	-0.199754940466686
OTU_116	OTU_141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_117	OTU_141	0	0	0	0	0	0	0	0	-0.107649946508188	0.0752814689645455	0.0680772779709205	0	0	0	0.0742030146338631	0.087758307386789
OTU_133	OTU_141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1385	OTU_141	0	0	0	0	0	0	0	-0.106084484410232	0	0	0.0711097194733928	0	0	0	-0.124534939457647	0
OTU_1386	OTU_141	0	0	0	0	0	-0.0938106944314899	0	0	0	0.0701346505275415	0	0	0	0	0	-0.0859968142596093
OTU_1218	OTU_1410	0	0.0867600845612231	-0.0965230275576251	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1068	OTU_1413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1092	OTU_1417	0	0	0	-0.104593393457377	0	0	0	0	0	0	0	-0.15415843240849	0	0	0	0
OTU_1061	OTU_1415	0	0	0	0	0	0	0	0	-0.12030554098345	-0.162645490261456	0	0	0	-0.124821429886954	0	0
OTU_1345	OTU_1421	0	0	0	0	0	0.096980568965699	0	0	0	0	0	0	0	0	0	0
OTU_1389	OTU_1422	0	0	-0.140417090662583	0	0	0	-0.114600862920811	0	0	0	0	0	0	0	0	0
OTU_1136	OTU_1424	0	0	0	0	0	0	0	0	0	-0.0731457844814428	0	-0.249708927911589	0	0	0	0
OTU_11304	OTU_1433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1136	OTU_1433	0	0	0	-0.108633382718263	0	-0.0898525920530524	0	-0.178557331562136	0	0	0	0	0	0	0	0
OTU_1090	OTU_1440	0	0	0	0	0	0	0	0	0	0	-0.110604217739471	-0.120455135498644	0	0	0	-0.10153340405224
OTU_1191	OTU_1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
