node_1	node_2	r_bg	r_new	X13_18S_H_C_0_PCC_value	Z	p	q_BH	change	sign_flip	emergent
OTU_3947	OTU_928	0.608430371944048	0.601769876652487	-0.00666049529156143	-0.243233336847812	0.807824643106878	0.999999973033941	lost	FALSE	FALSE
OTU_40	OTU_928	0.802937292920817	0.791331824903417	-0.0116054680174004	-0.751286229506031	0.452480414794086	0.983798951642173	lost	FALSE	FALSE
OTU_402	OTU_928	0.829519994806648	0.831634135403149	0.00211414059650039	0.155901786411512	0.876110437175633	0.999999973033941	gained	FALSE	FALSE
OTU_413	OTU_928	0.750505393489739	0.709293924617133	-0.0412114688726058	-2.17030772000952	0.0299835421790164	0.186721205585648	lost	FALSE	FALSE
OTU_487	OTU_928	0.79556983873159	0.793476182207982	-0.00209365652360771	-0.131185549197937	0.895628527230858	0.999999973033941	lost	FALSE	FALSE
OTU_489	OTU_928	0.750598625912743	0.737012360984418	-0.0135862649283248	-0.715718906644829	0.474164934037961	0.999093304169458	lost	FALSE	FALSE
OTU_498	OTU_928	0.74366480052522	0.734808664286847	-0.00885613623837356	-0.455722926497184	0.648589233458667	0.999999973033941	lost	FALSE	FALSE
OTU_500	OTU_928	0.784707929862048	0.78918686736602	0.00447893750397188	0.26810669039944	0.788617196110938	0.999999973033941	gained	FALSE	FALSE
OTU_53	OTU_928	0.848808503812831	0.85234258220644	0.00353407839360953	0.290793516967349	0.771209243905141	0.999999973033941	gained	FALSE	FALSE
OTU_531	OTU_928	0.67299926081322	0.682290620665947	0.00929135985272689	0.390627337146471	0.696072715880928	0.999999973033941	gained	FALSE	FALSE
OTU_57	OTU_928	0.69592324953119	0.699429346219441	0.00350609668825086	0.156373196922314	0.875738863015623	0.999999973033941	gained	FALSE	FALSE
OTU_58996	OTU_928	0.718851629197731	0.708961920308923	-0.0098897088888078	-0.470692613101498	0.637860260256882	0.999999973033941	lost	FALSE	FALSE
OTU_59	OTU_928	0.743443527389272	0.70137187047351	-0.0420716569157624	-2.16334902340236	0.0305143451891084	0.18918366430509	lost	FALSE	FALSE
OTU_59413	OTU_928	0.698973567754774	0.686820490882147	-0.012153076872627	-0.546541101005507	0.584694043217436	0.999999973033941	lost	FALSE	FALSE
OTU_625	OTU_928	0.666565920798037	0.670506065551566	0.00394014475352888	0.163082564028564	0.870453427894782	0.999999973033941	gained	FALSE	FALSE
OTU_721	OTU_928	0.601266389373073	0.613410807411371	0.0121444180382972	0.437479906830764	0.661763344992193	0.999999973033941	gained	FALSE	FALSE
OTU_731	OTU_928	0.616371483239495	0.620372258184761	0.00400077494526596	0.148395214302719	0.882030876692021	0.999999973033941	gained	FALSE	FALSE
OTU_87	OTU_928	0.733703349783511	0.69744084568499	-0.0362625040985209	-1.80652982171648	0.0708356202814528	0.345531954787314	lost	FALSE	FALSE
OTU_92	OTU_928	0.742925968040537	0.739243584669787	-0.00368238337074989	-0.189025191639109	0.85007307262658	0.999999973033941	lost	FALSE	FALSE
OTU_456	OTU_93	0.643825185737959	0.377607922973116	-0.266217262764843	-10.4579175387947	1.34785401099505e-25	1.03877957472257e-22	lost	FALSE	FALSE
OTU_52	OTU_93	0.653538431359857	0.473686811388342	-0.179851619971514	-7.22059239215726	5.176158766263e-13	6.75818990087838e-11	lost	FALSE	FALSE
OTU_562	OTU_93	0.624348261908524	0.731930084828607	0.107581822920083	4.05510574936066	5.01116267488268e-05	0.000996451316983055	gained	FALSE	FALSE
OTU_1060	OTU_926	0.690756633880595	0.615705530055521	-0.075051103825074	-3.3014401459469	0.000961898556192193	0.0121885182878942	lost	FALSE	FALSE
OTU_4850	OTU_926	0.647346580677394	0.620323317675387	-0.027023263002007	-1.06987378481493	0.284676124510902	0.807669171656159	lost	FALSE	FALSE
OTU_5	OTU_926	0.636300003449608	0.644125876725448	0.00782587327583917	0.302450578053527	0.762308603210941	0.999999973033941	gained	FALSE	FALSE
OTU_6054	OTU_926	0.612734805369154	0.62438192138605	0.0116471160168959	0.428918533145591	0.667982512389624	0.999999973033941	gained	FALSE	FALSE
OTU_607	OTU_926	0.62496925498893	0.634644443123131	0.0096751881342011	0.36515330318581	0.714996973677007	0.999999973033941	gained	FALSE	FALSE
