"","X09_10S_H_C_1","X09_11S_N_C_0","X09_12S_N_C_2","X09_13S_N_C_0","X09_14S_N_C_2","X09_15S_H_C_0","X09_16S_H_C_1","X09_17S_N_C_2","X09_18S_H_C_0","X09_19S_N_C_1","X09_1S_H_C_1","X09_20S_H_C_1","X09_21S_H_C_2","X09_22S_H_C_2","X09_23S_N_C_1","X09_24S_N_C_0","X09_2S_H_C_0","X09_3S_N_C_1","X09_4S_H_C_2","X09_5S_H_C_0","X09_6S_N_C_1","X09_7S_H_C_2","X09_8S_N_C_0","X09_9S_N_C_2","X13_12N_N_N_2","X13_18S_H_C_0","X13_22N_H_N_2","X13_23N_N_N_1","X13_3N_N_N_1","X13_4S_H_C_2","X13_6N_N_N_1","X13_8N_N_N_0","X14_15N_H_N_0","X14_16S_H_C_1","X14_1N_H_N_1","X14_23S_N_C_1","X14_3N_N_N_1","X14_3S_N_C_1","X14_4N_H_N_2","X14_4S_H_C_2"
"OTU_78",160,0,4,7,1,4,18,66,97,0,1993,9,0,1,7,10,1,694,18,0,1,2,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_81",14,1,10,51,34,1,2,4,3,0,0,3,62,3,0,44,1,5,3,1,3,0,2,218,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_83",0,0,25,79,2,1,23,0,16,0,0,65,30,2,12,96,0,0,1,1,1,0,13,94,53,15,19,9,57,56,21,20,20,9,7,4,51,27,24,214
"OTU_85",5,1,1,14,2,3,2,5,6,59,2,10,5,10,18,3,2,1,6,3,7,2,4,7,1,18,1,1,5,48,1,1,5,250,0,2,3,40,5,36
"OTU_86",17,0,0,3,0,0,0,2,0,0,0,6,1,0,7,4,3,4,1,0,1,1,1,1,46,11,11,0,52,25,31,44,6,17,2,2,81,75,13,81
"OTU_88",0,14,7,0,0,51,13,11,1,0,50,6,0,30,4,0,2,27,0,5,9,13,62,47,1,0,0,1,37,92,83,78,0,0,0,1,115,9,0,0
"OTU_90",127,74,12,153,138,34,28,19,19,61,88,81,137,38,104,126,4,67,30,5,42,22,35,279,3,0,1,0,0,1,2,2,1,0,0,1,0,4,0,0
"OTU_91",2,122,17,1,1,24,30,0,1,107,5,2,2,0,1,13,4,13,3,15,0,2,2,7,62,0,0,2,8,0,10,0,1,0,2,0,33,52,1,3
"OTU_97",3,0,3,14,1,3,3,1,1,1,1,1,2,0,0,3,0,6,0,13,13,1,0,11,2,2,1,104,0,15,8,0,2,0,10,45,0,6,335,84
"OTU_98",6,3,1,0,3,1,4,4,1,0,1,1,2,0,0,3,1,0,0,1,0,2,0,4,1,56,2,0,2,60,8,0,23,4,16,0,1,0,5,131
"OTU_100",4,0,2,8,6,2,3,6,4,5,0,5,1,0,1,1,0,0,0,1,15,1,5,35,1,13,8,2,7,20,3,3,192,28,0,1,3,11,5,2
"OTU_101",101,111,140,47,28,58,6,33,19,6,32,35,8,1,55,160,2,6,14,141,14,17,19,56,15,0,0,0,4,1,1,1,1,0,0,1,2,1,0,0
"OTU_103",3,1,6,4,19,36,2,15,3,7,38,12,3,4,38,3,2,1,5,3,3,3,20,8,1,2,3,0,11,29,1,0,1,6,0,5,1,58,0,8
"OTU_106",7,19,6,4,5,11,5,12,45,11,4,16,6,1,0,5,1,3,1,17,1,8,21,12,15,1,3,36,23,7,6,0,7,0,0,2,1,8,2,4
